no,id,nim,nama,tampilan,navigasi,multimedia,interaktivitas,materi,teknik_feynman,total,rata_rata,persentase
1,UCS01,25210082,Rianti Khoirunnisa,4,4,4,4,4,4,24,4.0,100.0
2,UCS02,25210050,Reifa Nazwa Shakira,4,3,4,4,4,4,23,3.83,95.83
3,UCS03,25210058,Zahra Bilbina Ramadhani,4,4,3,4,4,4,23,3.83,95.83
4,UCS04,25210073,Nazmi Yulia,3,4,4,4,4,3,22,3.67,91.67
5,UCS05,25210049,Hadi Wikarsa,4,4,4,3,4,4,23,3.83,95.83
6,UCS06,25210006,Irmayanti,4,3,4,3,4,4,22,3.67,91.67
7,UCS07,25210018,Dandi Putra Septiana,4,4,3,4,4,3,22,3.67,91.67
8,UCS08,25210008,Muhamad Sabi As Shiddiq,3,4,4,3,4,4,22,3.67,91.67
9,UCS09,25210099,Muhammad Zulfiqar,4,4,4,4,3,4,23,3.83,95.83
10,UCS10,25210101,Muhammad zidan alfarizi,4,3,4,4,4,4,23,3.83,95.83
